City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
223,mont-laurier,46.5501,-75.4993,276.94,71,100,4.21,CA,1710700320
224,saint-joseph,-21.3667,55.6167,298.36,83,34,4.9,RE,1710700321
225,bandar-e genaveh,29.5791,50.517,295.48,61,0,4.29,IR,1710700323
226,fort mcmurray,56.7268,-111.381,275.92,48,0,7.2,CA,1710700257
227,pasighat,28.0667,95.3333,293.02,52,56,2.4,IN,1710700324
228,buzdyak,54.5833,54.55,260.14,91,28,1.32,RU,1710700325
229,kibondo,-3.5864,30.7203,291.3,86,0,0.88,TZ,1710700326
230,sandnessjoen,66.0217,12.6316,277.21,30,0,5.14,NO,1710700327
231,port elizabeth,-33.918,25.5701,293.2,80,75,5.66,ZA,1710700205
232,tangalle,6.024,80.7911,296.24,82,5,3.59,LK,1710700329
233,kiunga,-6.1219,141.2906,295.82,99,100,1.3,PG,1710700330
234,tura,25.5198,90.2201,294.82,20,0,1.54,IN,1710700331
235,tolanaro,-25.0319,46.9987,300.19,83,20,9.26,MG,1710700331
236,arauco,-37.2463,-73.3175,293.31,38,46,5.25,CL,1710700305
237,san julian,21.0167,-102.1667,300.37,13,1,7.08,MX,1710700333
238,vila franca do campo,37.7167,-25.4333,291.42,99,100,4.54,PT,1710700325
239,smithers,54.7804,-127.1743,278.33,65,20,2.06,CA,1710700214
240,bel ombre,-4.6167,55.4167,300.06,83,20,1.03,SC,1710700337
241,nova vicosa,-17.8919,-39.3719,303.53,69,6,5.5,BR,1710700338
242,itoman,26.1247,127.6694,292.58,79,75,8.23,JP,1710700339
243,longyearbyen,78.2186,15.6401,250.06,64,20,1.54,SJ,1710700269
244,doka,13.5167,35.7667,309.08,22,10,2.38,SD,1710700079
245,zaozersk,69.4005,32.4476,263.24,85,89,6.31,RU,1710700341
246,riosucio,5.4216,-75.7032,297.6,68,99,0.33,CO,1710700342
247,hermanus,-34.4187,19.2345,291.93,75,100,9.08,ZA,1710700328
248,callao,-12.0667,-77.15,297.31,73,0,4.12,PE,1710700065
